scheme_id,scheme_name,ministry,applicant_type,business_type,business_status,age_min,gender,sc_st,rural,loan_support,benefit,official_url,source_url
S011,PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi),Not specified,"Street vendors in possession of Certificate of Vending / Identity Card issued by Urban Local Bodies (ULBs). The vendors, who have been identified in the survey but have not been issued Certificate of Vending / Identity Card. Street Vendors left out of the ULB-led identification survey or who have started vending after completion of the survey and have been issued a Letter of Recommendation (LoR) to that effect by the ULB / Town Vending Committee (TVC). The vendors of surrounding development/ peri-urban/rural areas vending in the geographical limits of the ULBs, who have been issued a Letter of Recommendation (LoR) to that effect by the ULB / TVC.","Business & Entrepreneurship, Skills & Employment, Social welfare & Empowerment",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Financial assistance of up to ₹10,000 is provided to street vendors to help them restart and expand their businesses. The loan is provided at a low-interest rate of 7%, making it easier for street vendors to repay the loan. No collateral is required to avail of the loan, making it more accessible to street vendors. There is no processing fee to apply for the scheme, making it cost-effective for street vendors. The loan amount can be used for any purpose related to the street vending business, such as buying raw materials, paying rent, or purchasing equipment. The scheme provides financial stability to street vendors and helps them to become self-reliant. The loan repayment period is one year, which gives street vendors sufficient time to repay the loan. The scheme encourages entrepreneurship and helps to create employment opportunities. The scheme is aimed at providing financial assistance to street vendors affected by the COVID-19 pandemic, helping them to recover from the economic impact of the pandemic. The scheme is implemented at the national level and is available in all States and Union Territories, making it accessible to street vendors across the country.",Not provided in source dataset,Not provided in source dataset
S012,Credit Linked Subsidy Scheme for Rural Entrepreneurs to set up Custom Hiring Centres (CHC) of Farm Machinery,Not specified,"Individual farmers registered under Krishak Bandhu (New) Scheme. Or, Groups like SKUS/PACS/FPO/FPC/FIG/SHG duly graded /LAMPS etc. approved/recognized by any Govt. Institutions/Departments are eligible to set up CHC. The project cost/Total Financial Outlay (TFO) should be between minimum ₹20,00,000/-to maximum as per SMAM Guideline and SPMT recommendation. The applicant should have sufficient land under his possession (own land/leased/hired) for setting up the CHC. The land in question must belong to “commercial or bastu or viti” category. The age of the beneficiary should be minimum 18 years at the time of application. ﻿","Agriculture,Rural & Environment",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Pattern Of Assistance: The maximum subsidy will be limited to 40% of the Total Financial Outlay(TFO) (TFO = indicative cost of machinery including transportation + AMC for 3 years + cost of open shed + insurance for 1 year). Minimum TFO would be ₹20,00,000/- and the maximum would be as per SMAM Guideline and SPMT recommendation. An individual entrepreneur shall avail subsidy amounting ₹16,00,000/- or 40% of the TFO whichever is less to set up CHC. The maximum amount allowed for the cost of open shed for machinery will be limited to 5% of the TFO and total ancillary cost (other than machinery) should not exceed 10% of TFO. An individual entrepreneur shall avail subsidy amounting ₹16,00,000/- or 40% of the TFO whichever is less. Note: The applicant will have to deposit margin money of a minimum amount of 25% of TFO to the financing bank before release of subsidy by the DDA (Admn.) to the Bank and remaining amount will be bank loan. No machine/equipment will be procured by the Government. The Government will only release subsidy as back ended subsidy against procurement by the beneficiaries as per their choice under CHC with Bank Loan. The subsidy will be released through DBT mode to the concerned bank branch to subsidy reserve fund/loan account for CHC. The subsidy will only be applicable for purchase of farm machinery/equipment from the approved Farm machinery Manufacturers and Dealers as enlisted in the Departmental portal. A beneficiary or his/her spouse will not be eligible to apply afresh before completion of 4(four) years from release of the last subsidy for CHC scheme from the State under this Guidelines. The subsidy will be provided from SDS and different CSS like RKVY- Cafeteria, SMAM, NFSM( Pulse/Rice/Nutri Cereals), TRFA ( Pulse/Coarse Cereals), NMEO for implementation of CHC.",Not provided in source dataset,Not provided in source dataset
S013,Chief Minister's Micro Finance Initiative,Not specified,"Eligibility Criteria Individual Farmers They should not be defaulters to any bank. They should have sufficient land for land-based activity in the name of the borrower or on lease with the remaining period of the lease agreement not less than the tenure of the loan. In the case of non-cadastral areas, a document issued by the concerned Village Council, and countersigned by the area administrative officer certifying the land-holding shall be sufficient for the purpose. They should generally have adequate experience or training in respect of the activity for which they seek assistance. ﻿ Self-Help Groups:  All SHGs (including non-NSRLM SHGs) fulfilling the Panchasutra concept i.e. holding Regular meetings; regular savings; regular inter-loaning; timely repayment; and up-to-date books of accounts shall be considered for assistance under the Scheme. SHGs would be financed, primarily, by the bank where they have their Bank Account. SHGs shall be graded on the basis of the “Panchsutra” concept. The group members should have sufficient land, either self-owned or on a lease, to carry out land-based activities. ﻿ Farmer Producer Organizations  The FPO should have been registered and should have at least three years of audited Balance Sheet Board members of FPOs and all members should be non-defaulters to any bank/ financial institution The FPO should not be at losses The FPO should have at least 100 shareholders and a minimum paid-up capital of Rs 1,00,000. The activity should be relevant to the prime activity of the FPO. The maximum borrowing of the FPO should be restricted to 2/3rd of their paid-up share capital or as per the borrowing power of their bye-laws. At least 80% of members should be participating in and benefit from the FPO either through the supply of input or aggregation of produce and marketing. ﻿","Banking,Financial Services and Insurance",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Benefits To increase farmers' income by increasing investment in the sector, quality inputs, and technology. To promote investment in Agri & Allied, and in the small enterprise sectors. To promote credit discipline and encourage the Banking Sector to support Agricultural and small enterprise sectors in the State. To improve the agri-marketing network and infrastructure in the State. To promote private enterprise.",Not provided in source dataset,Not provided in source dataset
S014,"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Interest Subsidy (Manufacturing Sector)",Not specified,"The firm must be a Micro/Small/Medium enterprise. The enterprise must be in the manufacturing sector. The term loan must be sanctioned by a recognized Bank/Financial Institution (excluding NBFCs). The enterprise must apply within one year of loan disbursement or before the commercial production starts. The enterprise must remain operational for at least 7 years post-subsidy approval. The enterprise must comply with pollution control measures. Only one type of investment (Forward Integration, Backward Integration, Diversification, or Expansion) will be eligible for subsidy.",Business & Entrepreneurship,New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Financial Assistance: Category of Taluka Quantum of Incentive  Category I ﻿ 7% on Term Loan with a maximum amount of ₹35,00,000/- per annum for a period of 7 years ﻿ Category II ﻿ 6% on Term Loan with a maximum amount of ₹30,00,000/- per annum for a period of 6 years ﻿ Category III & Municipal Corporation Areas 5% on Term Loan with a maximum amount of ₹25,00,000/- per annum for a period of 5 years",Not provided in source dataset,Not provided in source dataset
S015,Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Interest Subsidy (Manufacturing Sector),Not specified,"The firm must be a Micro/Small/Medium enterprise run by SC/ST entrepreneur. The enterprise must be a manufacturing enterprise. The enterprise must be engaged in the manufacturing sector. The term loan should be availed from a recognized bank or financial institution. The loan must be sanctioned before the enterprise starts commercial production. If the enterprise installs a solar/renewable energy plant, it must be for captive consumption. The enterprise must bear a minimum of 2% interest on the term loan. The application must be submitted within the prescribed timeline. Note: SC/ST Enterprise: SC/ST Enterprise means the enterprise in which contribution of SC/ST entrepreneur is 51% or more.",Business & Entrepreneurship,New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Financial Assistance: Category of Taluka Quantum of Incentive  Category I ﻿ 8% on Term Loan with a maximum amount of ₹35,00,000/- per annum for a period of 7 years ﻿ Category II ﻿ 7% on Term Loan with a maximum amount of ₹30,00,000/- per annum for a period of 6 years ﻿ Category III & Municipal Corporation Areas 6% on Term Loan with a maximum amount of ₹25,00,000/- per annum for a period of 5 years",Not provided in source dataset,Not provided in source dataset
S016,Dalit Bandhu,Not specified,"Here are the eligibility criteria for the scheme: ﻿ The scheme is applicable only to families belonging to the SC community. The applicant must be a resident of Telangana. The family should have an annual income of less than Rs. 2.5 lakh. The family should not own more than 3 acres of agricultural land or more than one residential house. The applicant should not have availed of any other government loan or subsidy. The applicant should have a viable business plan or entrepreneurial idea that can be supported by the grant. The applicant should be willing to contribute 10% of the project cost. The applicant should have a bank account. The applicant should have a digital identity, such as an Aadhaar card. The applicant should be between the ages of 25 and 50. The applicant should have passed at least the 10th standard. The applicant should not have a criminal record or have been convicted of a crime. ﻿ These eligibility criteria have been put in place to ensure that the scheme benefits those who are most in need of financial assistance to start their own businesses or entrepreneurial ventures. By targeting eligible SC families who meet these criteria, the government aims to ensure that the benefits of the scheme reach the intended beneficiaries and help to reduce economic disparities in the state. ﻿ The eligibility criteria for the Dalit Bandhu scheme in Telangana are based on the socio-economic conditions of the Dalit families. According to the Telangana Chief Minister, K. Chandrasekhar Rao, the following parameters will be considered in the eligibility survey: ﻿ Land holdings Annual income Savings Liabilities Education Skills Employment status ﻿ The eligibility survey will be conducted by a dedicated agency, the Telangana Dalit Bandhu Corporation, which will also provide capacity-building and training programs, as well as support for marketing and access to credit. It is worth noting that the scheme is not based on caste certificates, but on the socio-economic conditions of the families. Eligible Dalit families will receive financial assistance of Rs. 10 lakhs in a phased manner to start their own businesses or ventures.","Social welfare & Empowerment, Skills & Employment, Banking,Financial Services and Insurance, Business & Entrepreneurship",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"The Dalit Bandhu Scheme in Telangana has several benefits for the Scheduled Caste (SC) families who are eligible for the scheme. Here are some of the benefits: ﻿ Financial assistance: The scheme provides financial assistance of Rs. 10 lakhs to eligible SC families to start their own businesses or entrepreneurial ventures. This grant can be used to purchase equipment, raw materials, and other resources needed to start a business, which can help these families become self-reliant and improve their financial status. There is a one-time capital assistance of Rs.10 lakhs per SC family is provided for all SC families as a 100% grant/subsidy to establish suitable income-generating schemes as per their choice (without bank loan linkage). ﻿ Employment opportunities: The scheme is expected to create employment opportunities for the beneficiaries as they start their own businesses. This can help to reduce unemployment and poverty among the SC community in Telangana. ﻿ Promotes entrepreneurship: The scheme is aimed at promoting entrepreneurship among the SC community in Telangana, which can help to create a culture of innovation and self-reliance. By providing financial support and guidance, the scheme encourages SC families to take up entrepreneurship as a viable career option. ﻿ Reduces economic disparities: The scheme is expected to reduce economic disparities between the SC community and other sections of society by promoting economic development among the marginalized sections of society. This can lead to more inclusive growth and development in the state. ﻿ Empowers SC families: By providing financial assistance and support to start their own businesses, the scheme empowers SC families to take charge of their own economic development and become self-sufficient. This can help to reduce their dependence on government subsidies and loans and promote a sense of pride and dignity. ﻿ Moreover, Dalit Bandhu Scheme in Telangana has several benefits for the SC community, including financial assistance, employment opportunities, and the promotion of entrepreneurship. The scheme has the potential to reduce economic disparities and promote inclusive growth in the state. ﻿",Not provided in source dataset,Not provided in source dataset
S017,Mukhya Mantri Shahri Ajeevika Guarantee Yojna,Not specified,"1.	All adult members of the household who register under this scheme will be eligible to work. To register they have to be: Local resident of the Urban Local Body. (Meaning thereby they should be residing within the jurisdiction of the Urban Local Body either in their own house or on rent). Willing to do unskilled work at projects being executed or in Sanitation Services being provided by the Urban Local Bodies. 2.	The household will comprise of husband, wife, and their minor children. However, only adult members of the household shall be eligible to work. 3.	The upper age limit for providing work shall be 65 years. Permissible Activities: 1.	All eligible beneficiaries will be employed in the following permissible activities in ULBs: In any ongoing or new admissible work under any Govt. of H.P./Govt. of India scheme for which funds are available with ULB. In any admissible work under the 15th Finance Commission or 5ffi State Finance Commission for which grant-in-aid is provided to the ULBs. Sanitation Works/Services as admissible under Solid Waste Management Rules, 2016 and Swachh Bharat Mission. The sanitation works/services may include activities like street sweeping, garbage collection, processing/removal of legacy waste, waste segregation, cleaning of garbage from hill slopes or other litter points, cleaning and maintaining municipal parks, and cleaning of municipal parking. 2. The Urban Local Bodies shall not start any muster-roll linked work/activity under this scheme and shall get eligible beneficiaries employed only in the works specified above (a). 3. The Urban Local Bodies shall make enabling provisions in all new contracts to be awarded for engaging eligible beneficiaries under MMSAGY as unskilled workers by the implementing agency. For the works already awarded, the Urban Local Bodies will coordinate with the implementing agency to which the work has been awarded for engaging the registered eligible beneficiaries under MMSAGY.",Skills & Employment,New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Guaranteed Employment: The scheme provides guaranteed 120 days of employment to eligible beneficiaries in urban local bodies to ensure livelihood security. The ULBs shall not employ an eligible beneficiary for more than 120 days in any financial year. Employment will be given to the eligible beneficiary within 15 days of registration, failing which an unemployment allowance of ₹75 per day will be paid by the ULBs. Maximum Period for Employment: The maximum period for which employment will be provided to a household shall be 120 days. Skill Training: The eligible beneficiaries under this scheme will also be provided skill training under the Deen Dyal Antodaya-National Urban Livelihood Mission (DAY-NULM), to create further opportunities for better livelihood. The eligible beneficiary will be provided skill training with entitlement to minimum wage as notified by the government up to a maximum of four weeks only after doing wage employment of 30 days under MMSAGY. Bank Linkage: The eligible beneficiary so skilled under this scheme will be facilitated to apply for loans under DAY-NULM. The eligible beneficiary provided skill training above, willing to start their Enterprise will be linked to the banks under the Self Employment Programme (SEP) of DAY-NULM. Payment of Wages: Eligible beneficiaries under the scheme will be entitled to minimum wage notified by the State Government. Equal wages are to be paid to both male and female workers. Wages will be directly deposited in the bank account of eligible beneficiaries by the Urban Local Bodies on a fortnightly basis not later than 7 days after completion of 15 days of employment. The payment of wages as prescribed supra will be made after due verification of the attendance by the Junior Engineer or any other officer/official authorized by the Urban Local Body. The payment made above will be adjusted/deducted from the bills of the implementing agency before making its payment.",Not provided in source dataset,Not provided in source dataset
S018,Mukhya mantri Swarojgar Yojana,Not specified,The applicant Should be a permanent resident of Madhya Pradesh. The applicant should have passed in the 5th class. The applicant’s age should be between 18 to 45 years. The applicant’s family should not be an income taxpayer. The applicant should not be a defaulter of any bank. ﻿,"Banking,Financial Services and Insurance, Business & Entrepreneurship",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Financial help Margin money assistance 15% of the project cost (maximum ₹.1,00,000 for the general category. 30% of the cost (maximum ₹2,00,000) for Below Poverty Line( BPL) , Scheduled Castes(SC)  , Scheduled Tribes(ST), Other Backward Classes(OBC) (except creamy layer)/ Women/ Minority/ Disabled project. Additional provisions - 30% of the project cost (maximum ₹3,00,000 lakh) to the liberated nomadic and semi-nomadic tribes. Bhopal gas victim family members are eligible for an additional 20% (maximum ₹1,00,000 on the project cost. interest subsidy At the rate of 5% per annum of the project cost and for women entrepreneurs at the rate of 6% per annum, for a maximum of 7 years. (Maximum ₹25,000 per annum) Guarantee Fee (CGTMSE/: CGFMU) Up to a maximum of 7 years at the prevailing rate.",Not provided in source dataset,Not provided in source dataset
S019,Chief Minister Agriculture and Food Processing Scheme,Not specified,The beneficiary should have age above 18 years The beneficiary should have Aadhaar Card/ Pan Card . The beneficiary should have Good Bank CIBIL  Score The beneficiary have 7/12 certificate and 8 –A certificate or Lease documents ﻿,"Agriculture,Rural & Environment",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"﻿ Elements of the Scheme - Under this scheme, three components are included as follows. Component No.1 – Establishment of agriculture and food processing units, their upgradation and modernization. Component No. 2 - The cold chain. To establish food processing projects related to pre-processing centre and integrated cold chain. ﻿ ﻿ Financial Assistance: i.	30% subsidy for construction of factories and machines of Processing Unit (Civil work for housing processing unit) and maximum limit of Rs.50.00 lakhs. ii.	Subsidy will be given on the basis of “Credit Linked Back ended subsidy”  in two similar instalments,  a) After completion of the project and b) After full commercial production. iii.	Loan amount should one and half times more than subsidy. ﻿",Not provided in source dataset,Not provided in source dataset
S020,Mukhyamantri Yuva Swarojgar Yojana,Not specified,"The applicant should be a native of Chhattisgarh state. Applicant must have passed minimum 8th class. The age of the applicant should be between 18 to 35 years as of the date of application. (5 years relaxation in maximum age limit for SC/ST/OBC/Women/PWD entrepreneurs/Naxalite affected family members/Retired soldiers) The applicant should not be a defaulter of any nationalized bank / financial institution / cooperative bank. Only one person from a family will be able to apply. The annual income of the applicant's family is Rs. 3,00,000/- (In the definition of family, the applicant's husband/wife and children will be included (In case the applicant is unmarried, the income of the applicant's parents, unmarried siblings will also be included) Applicants who have taken benefit of grant under PMRYO, PMROSRIKA or any other scheme of the Government of India / State Government will not be eligible.",Business & Entrepreneurship,New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Loans from Banks / Financial Institutions Under this scheme, loans will be provided to eligible youth for construction, service and business through banks / financial institutions, the limit of which will be as follows:- Manufacturing Enterprises - Project cost up to Rs.25.00 Lakhs. Service Industry - Project cost up to Rs.10.00 Lakhs. Business - Project cost max Rs.2.00 lakh. ﻿ Guarantee Fee / Annual Fee Assistance Beneficiary category Guarantee Fee / Annual Service Fee for Credit Guarantee Trust of Government of India General class Guarantee fee on the loan amount sanctioned by banks / financial institutions and the annual service fee imposed for the next 04 years. SC/ST/OBC/Minority/Women/Disabled/ Ex-Servicemen / Naxal Affected Guarantee fee levied on the loan amount sanctioned by the bank/financial institutions and the next 4 imputed annual services for years ﻿ Interest Subsidy General class 5% subsidy from the date of first loan disbursement (period of five years As far as) Maximum limit Rs.50000 per annum on Term Loan On Working Capital Loan Rs. 25000 per annum. SC/ST/OBC/Minority/Women/Disabled/Ex-Servicemen / Naxal Affected 8% subsidy from the date of first loan disbursement (period of five years As far as) Maximum limit on Term Loan Rs. 75000 p.a. Working capital loan Rs.40000 p.a. ﻿ Margin Money Grant Beneficiary category Margin money grant General class 10% of the project cost sanctioned by banks/financial institutions subject to a maximum up to Rs. 100,000/- OBC/Minority/Women/Disabled/Ex-Servicemen/Naxal Affected 15% of the project cost sanctioned by banks/financial institutions subject to a maximum up to Rs. up to 1,50,000/- SC/ST 25% of the project cost sanctioned by banks/financial institutions subject to a maximum of Rs. up to 1,50,000/- ﻿",Not provided in source dataset,Not provided in source dataset
S021,Investment Promotion Scheme (IPS) for Thrust Sectors: Assistance For Furniture Sector,Not specified,Should be a New Manufacturing/ Service units or Existing Manufacturing/ Service units which undertakes Expansion/ Diversification in MSME sector. The unit should have commenced the commercial production between 20.05.2022 to 19.05.2027. Unit should be located in the U.T. of Dadra and Nagar Haveli & Daman and Diu. Enterprise shall have to apply at online portal within one year from the date of eligibility.,Business & Entrepreneurship,New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Capital Investment Subsidy: 20% limited to a maximum reimbursement of ₹50,00,000/-. Credit Linked Interest Subsidy: 60% per annum limited to maximum of ₹50,00,000/- per annum for 5 years OR, for the period of repayment of loan whichever is earlier. Space Rent Subsidy: 50% up to a maximum of ₹5,00,000/- on actual rent paid by Furniture Industry for participation in industrial exhibitions in foreign countries. Reimbursement on Course Fee: 50% of the course fee limited to ₹75,000/- per person for training in manufacture of modern furniture in reputed institutions will be reimbursed for a maximum of 5 persons per industry course. Power Rate Incentive: ₹1/- per unit as reimbursement for a period of one year subject to a maximum of ₹50,00,000/- Lakhs from date of commencement of production. Reimbursement on the cost of establishment of Showroom: Owned Showroom: 20% limited to maximum of ₹50,00,000/-. Rented Showroom: 25% of actual rent for 3 years for a showroom with a minimum size of 2000 square feet.",Not provided in source dataset,Not provided in source dataset
S022,Chief Minister's Jeevan Jyoti Swaniyojan Yojana,Not specified,"1.	Age: The applicants should be within the age group of 18-37 years. 2.	Education: The minimum educational qualification is completely up to the 10th standard. However, for women undertaking schemes in handloom and sericulture, the minimum educational qualification is relaxed up to Class V. In the case of male youth, the educational qualification is relaxable up to Class VII for activities related to agricultural practices and animal husbandry. 3.	Group Approach: The scheme is implemented in a group approach with a minimum of four members forming a ""Joint Liability Swabalambi Group."" Individual applicants and two members with a joint account are also considered for certain activities like computer training units/DTP centers. ﻿",Skills & Employment,New/Existing,Not specified,Any,Not specified,Not specified,Yes,"1.	Self-Employment: The scheme provides avenues for self-employment to the educated unemployed youth in Assam. 2.	Institutional Credit: Youth can access institutional credit from nationalized banks, financial institutions, or organizations for their entrepreneurial ventures. 3.	Diversified Sectors: The scheme covers a wide range of sectors, offering employment opportunities in agriculture, horticulture, fisheries, handloom, textiles, poultry farming, and more. 4.	Financial Support: The state government provides financial support to the implementing agency for training, skill upgradation, technology, market promotion, infrastructure support, and management of economic infrastructure. 5.	Margin Money/Subsidy: The government provides margin money/subsidy on a 50% basis of the project cost against the sanctioned loan, with a maximum subsidy of Rs. 1.60 lakhs for a joint liability group of a minimum of four members. ﻿",Not provided in source dataset,Not provided in source dataset
S023,Pradhan Mantri Matsya Sampada Yojana,Not specified,1.	Fishers. 2.	Fish Farmers. 3.	Fish Workers and Fish Vendors. 4.	Fisheries Development Corporations. 5.	Self Help Groups (SHGs)/joint Liability Groups (JLGs) in the Fisheries Sector. 6.	Fisheries Cooperatives. 7.	Fisheries Federations. 8.	Entrepreneurs and Private Firms. 9.	Fish Farmers Producer Organizations/companies (FFPOs/Cs). 10.	SCs/STs/Women/Differently Abled Persons. 11.	State Governments/UTs and Their Entities. 12.	State Fisheries Development Boards (SFDB). 13.	Central Government and Its Entities.,"Agriculture,Rural & Environment",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Financial assistance for fishing infrastructure: The scheme provides financial assistance to develop fishing infrastructure like fishing harbors, fish landing centers, fish markets, fish feed plants, fish seed farms, and fish processing units. Financial assistance for fish farmers: The scheme provides financial assistance to fish farmers for various activities like the construction of ponds, cages, hatcheries, and nurseries, and for the installation of aeration systems and other equipment. Assistance for fisheries management: The scheme provides financial assistance for the management of fishery resources through the adoption of scientific methods, setting up of fishery management plans, and developing fishery information systems. Credit-linked subsidy for fish farmers: The scheme provides a credit-linked subsidy for fish farmers to encourage them to take up fish farming as a business. Assistance for marketing and export of fish products: The scheme provides assistance for the development of cold chains, fish processing units, and packaging facilities to promote the export of fish products.",Not provided in source dataset,Not provided in source dataset
S024,Mukhyamantri Mahila Udyami Yojana,Not specified,"The applicant must be a permanent resident of Bihar. The applicant must be female. The applicant should have passed at least 10+2, Intermediate, ITI, Polytechnic Diploma, or equivalent. The applicant must be aged between 18 and 50 years. The business unit must be a proprietorship or partnership firm. This scheme also provides benefits to Transgender community.","Business & Entrepreneurship, Women and Child",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Substantial Financial Support: Receive up to ₹10,00,000/- for setting up a business (50% of the total financial assistance (up to ₹5,00,000/-) is provided as a non-repayable grant. The remaining 50% (up to ₹5,00,000/-) is offered as an interest-free loan, with a nominal 1% interest under specific sub-schemes.) Skill Development: Mandatory training sessions are provided to enhance entrepreneurial skills.",Not provided in source dataset,Not provided in source dataset
S025,Mukhyamantri Mahila Utkarsh Yojana,Not specified,Eligibility The applicant should be a woman who is a permanent resident of Gujarat. The applicant should be 18 years of age or above. The applicant should have passed at least the 8th standard. The applicant should have a valid Aadhaar card. ﻿,"Social welfare & Empowerment, Women and Child",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Benefits Interest-Free Loans: Women entrepreneurs can avail of interest-free loans of up to Rs. 1 lakh to start or expand their businesses. The loans are provided without any collateral security. Subsidy: The government also provides a subsidy of 6% per annum to women entrepreneurs who repay their loans on time. No Processing Fee: The scheme does not charge any processing fee for the loan application. Repayment Period: The repayment period for the loan is up to 5 years, giving entrepreneurs sufficient time to repay the loan. Skill Development: The scheme provides training and skill development programs to women entrepreneurs to help them build their business acumen and enhance their knowledge of entrepreneurship. Employment Generation: The scheme promotes the creation of employment opportunities for women in the state, leading to the overall economic growth of the state. Financial Independence: The scheme empowers women entrepreneurs and enables them to become financially independent, contributing to their personal and professional growth. No Income Limit: There is no income limit for women entrepreneurs to apply for the scheme, making it accessible to women from all income groups. ﻿",Not provided in source dataset,Not provided in source dataset
S026,Scheme for Providing Employment Opportunities to Scheduled Castes by Establishing Livestock Units,Not specified,"The applicant should be of 18 to 55 years of age and a resident of Haryana. The applicant should belong to the Scheduled Caste community. The applicant must be unemployed (employment even in the private sector would bar an applicant from availing assistance under the Scheme). There will be no mandatory educational qualifications or training requirements. The applicant should have a space/shed for keeping animals. Any applicant who has earlier availed benefits under any Departmental Scheme for the establishment of a livestock unit would not be eligible for availing benefits under the Scheme. The applicant would have to submit a Self-Declaration for being unemployed and for undertaking to abide by other conditions as required under the Scheme. General Note: In case an applicant lives at a place other than where the animals are kept or intended to be kept. Then, the jurisdiction area will be the place where animals are kept or intended to be kept (Within state of Haryana only). Cost of mulch animals has been fixed as per the recommendation of the Unit Cost Committee of National Bank of Agriculture and Rural Development (NABARD) for the year 2019-20. The cost of the animal as determined by the Veterinary Surgeon may be lower depending upon age, number of lactations, breed characteristics, weight, etc., and the assistance as a subsidy would be provided on this lower cost. However, the maximum permissible cost for a grant of assistance as a subsidy would not exceed the cost indicated against in the tables mentioned above. The cost of Indigenous breeds of Red Sindhi, Tharparkar and Gir cows will be same as Sahiwal cow. Only those breeding animals should be purchased which are ready to bred or in prime age of production. Sexual maturity age in Female Goat & Sheep is 8-12 months. While in the case of Male Goat & Sheep, it is 11-12 months. So, female and male goat and Sheep should be purchased between 12-18 months of age. Sexual maturity age in Sow is 8-9 months. While in the case of Boar, it is 9-10 months. So, the Boar and Sows should be purchased between 8-11 months of age.","Agriculture,Rural & Environment",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Financial Assistance under the Scheme: Establishment of Dairy units of 2/3 milch animals: 50% subsidy on the cost of milch animals which has been availed as a loan for the purchase of these milch animals by the beneficiary for the establishment of dairy units of 2/3 milch animals; Establishment of 10+1 Piggery units: 50% subsidy on the cost of livestock which has been availed as a loan by the beneficiary for the establishment of a 10+1 Piggery unit. A maximum amount of ₹50,000/- will be provided as financial assistance in form of a subsidy. Establishment of 15+1 Sheep/Goat units: 90% subsidy on the cost of livestock which has been availed as a loan by the beneficiary for establishment of 15+1 Sheep/Goat unit. A maximum amount of ₹88,200/- will be provided as financial assistance in form of a subsidy. Note 01: The subsidy will be provided three months after the purchase of livestock or disbursement of the Loan by the bank, whichever is later, and subject to verification of unit by the concerned veterinary surgeon. Note 02: The unit should be financed through a loan from the bank/financial institution. Note 03: The subsidy would be provided in the loan account of the beneficiary. Financial Assistance for Insurance of Livestock Unit: If any Livestock Insurance Scheme is operational by the Department or Haryana Livestock Development Board then the insurance of animals purchased for the establishment of unit is to be covered under that Scheme, wherever permissible. However, if no Livestock Insurance Scheme is operational then the Beneficiary/Bank would have to arrange for the insurance of the animals at their own.",Not provided in source dataset,Not provided in source dataset
S027,Skill Development Allowance Scheme,Not specified,"Subject to the provisions of this Scheme, all educated unemployed applicants shall be eligible for the grant of Skill Development Allowance, who fulfill the following criteria: She/He should be unemployed (i.e. neither employed in Govt. sector nor in private sector nor self employed) and should be a Bonafide Himachali. She/He should have passed minimum 8th from any Board/University/Institution recognized by H.P Govt. There will be no requirement of minimum qualification for admissibility of allowance under the Scheme when applicant wants to pursue training in Sectors such as masonry, carpentry, blacksmithy or plumbing etc. She/He should be registered with any Employment Exchange in Himachal Pradesh as on the date of application. Her/His annual family income for the Financial Year immediately preceding date of application, from all sources including that of spouse should be less than Rs. 2.00 Lakh (Rs. Two Lakhs). She/He should be above 16years and below 36 years of age and in case of widow less than 45 years of age as on the date of application. She/He should not be self-employed. The employment under MGNREGA will not be counted as employment. She/He should not be a dismissed Govt. employee. She/He should not be convicted of any offence resulting in imprisonment for a period of 48 hours or more. She/he should be enrolled in a skill development training.","Skills & Employment, Social welfare & Empowerment",New/Existing,Not specified,Any,Not specified,Not specified,Yes,"Allowance shall be payable to each educated unemployed applicant for a maximum period of two years; subject to fulfilling eligibility criteria & timely submission of attested copies of 8th/matriculation marks sheet/certificate to ascertain age and educational qualification and Affidavit as per form ‘C’, at the following rates: 1. For Physically Challenged person who have minimum 50% permanent disability recorded in her/his Employment Exchange record (X-I), @ ₹1,500/- per month. 2. For all other categories of Persons :- ₹1000/- (Rs. One Thousand) per month. Note: The Allowance shall be credited to the recipient by RTGS/NEFT/ECS through Banks as mentioned in Application Form, on monthly basis at the cost of the Government. This would be on bank accounts which are verified by Aadhaar number by the bank.",Not provided in source dataset,Not provided in source dataset
